source_path,destination_path,sha256,size_bytes,file_type,import_status,notes
reference/Benefit Statement Guidance_Intro Training_2020.pdf,reference/training/Benefit Statement Guidance_Intro Training_2020.pdf,c0e095a8caf5d0a884e683356ce994440d4100ef4d2efea9177611a9b3a51168,645087,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Benefits Requiring Employer Consent.pdf,reference/regulations/Benefits Requiring Employer Consent.pdf,58bc26134040f7049f901cb199d65bca2cdcd40e67744dcf6b4d809c45f01b05,242086,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Black Lung Benefits Offsets.pdf,reference/regulations/Black Lung Benefits Offsets.pdf,81a51e343a32e0a483e7ee855574b918e2e3cffa10cca5fc5b0c5a1efe97e6e8,168357,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/BSRS functions.txt,reference/field-catalogs/atpbgc/BSRS functions.txt,c1aaaba789bcad60e335d9e872eb2c69e7ce55258606b5769877496aa8239cd3,309,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/CASE_PROCESSING.txt,reference/training/internal/CASE_PROCESSING.txt,1f32ac8ec05f879eb8b7e2a0c8593d5a8c10c473032586c179beb1265724650f,266521,text/plain,imported,Post-import organizational adjustment moved the file into the internal training category; file bytes and SHA-256 are unchanged.
reference/case-lifecycle-d3.html,reference/training/case-lifecycle-d3.html,afc8c4e03b5a314ba9d54060338bbdcf06f0181d5724c97e3261a3a50ed11b08,10364,text/html,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/case-lifecycle-mermaid-code.txt,reference/training/case-lifecycle-mermaid-code.txt,b13ac85b794c5b7274e95adf8403e67ac09da49c92759dbb97975b4b9edcd423,2396,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/case-lifecycle-plantuml-code.txt,reference/training/case-lifecycle-plantuml-code.txt,de975fb334d78176dc860d69e22c1e3f4e3a15611688f45238ddac121f04ccb2,3551,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/case.schema.json,reference/examples/case.schema.json,bfb04bd3cdb3bd790935f3bfa3b0253767c3c7eda973eb95fcfe48b700e07976,644,application/json,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Cash Balance Plans (Pre-PPA 2006).pdf,reference/regulations/Cash Balance Plans (Pre-PPA 2006).pdf,bfbda0c732af786a59450146fcb6f485cbe23f80774c3c6229986c3ebd57f18c,279528,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Computation and Netting of Post-DOPT Overpayments and Underpayments.pdf,reference/regulations/Computation and Netting of Post-DOPT Overpayments and Underpayments.pdf,62167d05a1b35e6d982a54173d383553aaeef73d7d7e62933387223b43043c93,192796,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/current-policies.pdf,reference/regulations/current-policies.pdf,a20e0e0fdd87f6e65504f1ad03604ba1bcd733fa668fc176687ba5733ccc38b9,15711394,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/d3-force-with-labels/class Graph.txt,reference/examples/d3-force-with-labels/class Graph.txt,924feb97c9a62c955855217d54780f6b8699d2419ff2aa191f179d9c0a2cb7e0,68299,text/x-c++,imported,Imported with source bundle-relative structure preserved.
reference/d3-force-with-labels/index.html,reference/examples/d3-force-with-labels/index.html,7f81b5e82664f48e4d1146a08365cce98aec9986e18c8bdd9da04cfc5eeafc9d,48267,text/html,imported,Imported with source bundle-relative structure preserved.
reference/d3-force-with-labels/json-data/GRAFO23384300.json,reference/examples/d3-force-with-labels/json-data/GRAFO23384300.json,ed4a48842208a53df7df4ef66b531c561fae79f1b3b1f239c8a86e73f7b977b5,89967,text/plain,imported,Imported with source bundle-relative structure preserved.
reference/d3-force-with-labels/json-data/miserables.json,reference/examples/d3-force-with-labels/json-data/miserables.json,164002539baad7d8a8763dd898654a2c9081ab2abd39663a8f7507b93d888fa1,18843,application/json,imported,Imported with source bundle-relative structure preserved.
reference/d3-force-with-labels/json-data/v1.json,reference/examples/d3-force-with-labels/json-data/v1.json,d9099b135e7882abbbb88b537dc68ba747e49ed645353a51d39b024bde1455c4,104215,application/json,imported,Imported with source bundle-relative structure preserved.
reference/d3-force-with-labels/miserables.html.html,reference/examples/d3-force-with-labels/miserables.html.html,7822148a80fe211787e81c5dd7962bbf313b71c30a34adbeb30c76cb9b857067,21291,text/html,imported,Imported with source bundle-relative structure preserved.
reference/DD.csv,reference/field-catalogs/atpbgc/DD.csv,c372216f4f59150242860fba3b41678c520bb0b78cbc566ac3d21b2021095954,174167,text/csv,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Disability Benefits.pdf,reference/regulations/Disability Benefits.pdf,00ef386f257987ce36f6e605cc33aa2bddfabe4b0eb49993d1b82326b6b0e0e3,384253,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Disqualified Plans.pdf,reference/regulations/Disqualified Plans.pdf,078a18e07f8998501002209fa25336c28245e3825eb17bf702e77d29e16cadf1,102007,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Due and Unpaid Employer Contributions (DUEC) Recovery.pdf,reference/regulations/Due and Unpaid Employer Contributions (DUEC) Recovery.pdf,0a242a5161f8bbc31fcd4d026c4297ed265609e4aa93aa037fe8b11452db1562,186329,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Earliest PBGC Retirement Date.pdf,reference/regulations/Earliest PBGC Retirement Date.pdf,b10d471c380ff98036928f0b929f73c7bfeda3d839a611a705d41f4b98ce92f3,150385,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Earnings-Offset Provisions.pdf,reference/regulations/Earnings-Offset Provisions.pdf,6c011affcabbf12e5974e1c2096b429d46ac5a036bbd8bb12339795a37c80316,584234,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/EBAAM - Actuarial Training 2020.pdf,reference/training/EBAAM - Actuarial Training 2020.pdf,3f87484e456f42ec547ab9e3ec567eb02c0d82658e830861a2c02c4c883e5e60,112525,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/ERISAfication.pdf,reference/regulations/ERISAfication.pdf,2c8e724f664f5ccfacc933e432defba1efb241584eb020b38fad31116fd2c383,167293,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Erroneous Commencement.pdf,reference/regulations/Erroneous Commencement.pdf,8c5177cbb45d7a90f5a944fe2b9bcf83c71c2aae539c82c30323b07fbc60ab61,247254,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Excess Assets in Trusteed Sufficient Plans.pdf,reference/regulations/Excess Assets in Trusteed Sufficient Plans.pdf,e805b458c69b522a9fd61fde31b24b5013946e07512cde8f12236eb132955b7f,153108,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Frequency of Benefit Payments.pdf,reference/regulations/Frequency of Benefit Payments.pdf,c5d21d514f2bfbcf2eec9c52577c305c34e7b1b7e3dc9aa6473f03272f89197e,280957,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/general-samples.pdf,reference/examples/general-samples.pdf,9ce22fa8cba5832fcc2911cc0fd0d36be7815d7b06bc408d5f0c0bf0799004d9,454569,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Guardianships and Conservatorships.pdf,reference/regulations/Guardianships and Conservatorships.pdf,791145856364a18daa5fe72f9329227ed24b92ee567259f5aad34d485a69f4da,214743,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Installation-tools-complete.md,reference/training/Installation-tools-complete.md,c93c0e054ecba725e6d0305193b04aec96215355f12ea0afc120d706c817758b,10101,application/javascript,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Interim Trusteeship of Plans.pdf,reference/regulations/Interim Trusteeship of Plans.pdf,bc22bbc0615795bf5d082761ea57426d8e31fa629612c2399313b886131b919a,102801,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/IOB row variable.txt,reference/field-catalogs/v1/IOB row variable.txt,d8344b4e0af4dc0d46e11c28b3c6e206516826d9cfa11ddec43498a3acdb4422,620,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Late Retirement Benefits.pdf,reference/regulations/Late Retirement Benefits.pdf,7c664fb381f711d4122f58c0448588dc9ea6f962375de4f2f5d10ae8831ce9c3,252030,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Limited Scope Benefit Determinations.pdf,reference/regulations/Limited Scope Benefit Determinations.pdf,b343a1abc00e7f45d4b218f517fbcb1e09f00447fd221be67047f07cca68f71c,158095,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/logo-negro.png,reference/source-materials/logo-negro.png,ea45a6e4fe83ada85456b83c1588eadbc43e04b559f55fd4bc48fa421886e551,2815,image/png,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/logo.svg,reference/source-materials/logo.svg,1a56c5af86e79ab5085cd72ea39e6a070dd433bd3f99a24624dce52d579a9a56,3711,image/svg+xml,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Lump Sum Benefit Payments.pdf,reference/regulations/Lump Sum Benefit Payments.pdf,ce849fcce9fcce9f50595d4da2a6a1bdfc736fa3642a4cd74389a8951065f23e,242113,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Marriage Requirements.pdf,reference/regulations/Marriage Requirements.pdf,677111595826628a3e09f51c84ef7f51ff2a9153a458bf88ee4a70c73554a4b7,239312,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/metadata-scraper-prompt.txt,reference/source-materials/metadata-scraper-prompt.txt,d6844e6c071da58d79c8a33c5dadbb47e9fda8e14aeb7bdf27906d181c25ca99,10043,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Military Service - Treatment of Benefits Earned During.pdf,reference/regulations/Military Service - Treatment of Benefits Earned During.pdf,6688f2b313e52ae3bf7949ad0812922f993250320fc4501f19fffcdda9242350,205246,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Missing Participants Locators of Lost Funds.pdf,reference/regulations/Missing Participants Locators of Lost Funds.pdf,d706ec18c795ae484d543d610ed97edb5cfbf9e6436afae3382f016f6b92ac37,191455,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
"reference/Missing Participants Program, Expanded in 2018.pdf","reference/regulations/Missing Participants Program, Expanded in 2018.pdf",d6139a5e34324bce085643c01ef8fc00e8e3579d59a37c1e4de1c1a17e06fd57,273845,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
"reference/Missing Participants Program, Original.pdf","reference/regulations/Missing Participants Program, Original.pdf",ef21f2e2db61b8c968aae0a2dd9c3e4eceb3055debd4b9574b0e825e6d040005,235505,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/output_contract_seed.v0.7.0.json,reference/field-catalogs/v1/output_contract_seed.v0.7.0.json,300c10fc04a1dfcff284970507807509edb6dd16443984bb55046017a05daa82,27576,application/json,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Paying and Converting Complex Benefit Forms.pdf,reference/regulations/Paying and Converting Complex Benefit Forms.pdf,65a7cb3e9b839f8078ba23950b6f72832e5466a36202d1054f8676dd67faa760,196203,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/pbgc-436-webapp-v0.2.0/436_Evaluation_Template_v0.2.0.docx,reference/source-materials/pbgc-436-webapp-v0.2.0/436_Evaluation_Template_v0.2.0.docx,e4107db6126a80d0de394aad35d42c79c28ae98e8e09155e5c7e40e2ebfc348b,99011,application/vnd.openxmlformats-officedocument.wordprocessingml.document,imported,Imported with source bundle-relative structure preserved.
reference/pbgc-436-webapp-v0.2.0/app.js,reference/source-materials/pbgc-436-webapp-v0.2.0/app.js,b78896be4aaf6b8f1bd979a85c614683fab9721cecbbccdad63c99692d58bfcf,4719,text/x-Algol68,imported,Imported with source bundle-relative structure preserved.
reference/pbgc-436-webapp-v0.2.0/index.html,reference/source-materials/pbgc-436-webapp-v0.2.0/index.html,90515c4fc66e30db86cad3e7abea2b9fa3e716041d3d05c21c31895251bef2a2,3352,text/html,imported,Imported with source bundle-relative structure preserved.
reference/pbgc-436-webapp-v0.2.0/styles.css,reference/source-materials/pbgc-436-webapp-v0.2.0/styles.css,b7f21427727fd1c8d5e513a82ab18ec1e25ad01dab30234dd350c231e8c1da67,1515,text/x-asm,imported,Imported with source bundle-relative structure preserved.
reference/Plan File Types.pdf,reference/regulations/Plan File Types.pdf,206013bbf16d9c20de1c27dd59194f4171c1b70a60bb5e9c4037f53cc987f50a,382067,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Plan Loans.pdf,reference/regulations/Plan Loans.pdf,dab9aea1b3e2695709d94f8ac8b032bbba3f9361bc67941a40891b0386f0167f,259610,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Plan Recoveries - Valuation and Allocation.pdf,reference/regulations/Plan Recoveries - Valuation and Allocation.pdf,571cf60fe517eb2e08267098b6d3d2724e39f49bd0cf8227a387507fe3c386a3,286565,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/plan_layer_info-json_schema.json,reference/source-materials/plan_layer_info-json_schema.json,c82252692bc9799021695914125f33c75c45dff0696fe113ca8933edad453739,14653,application/json,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/plan-layer-object-variables.txt,reference/source-materials/plan-layer-object-variables.txt,3f5465f494d0dbba3bab8dcbb5c3666edb37bd036b38f2a01ebe4c43ee0f6b05,5055,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/plan-summary-rules.txt,reference/training/plan-summary-rules.txt,2094778fe29a061d4939872a55aaa7316b9502553906207096bef12f18fc96a4,13759,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Plant Shutdown.pdf,reference/regulations/Plant Shutdown.pdf,4cd587fd67b8ed9f0fc0e1ded8c4f8a9ce471f74dc69d3d67305d744fab13be6,248524,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Power of Attorney.pdf,reference/regulations/Power of Attorney.pdf,f8ce60420e0385fa1778e6ed5475ec93125bf8ec435b31847bc8976d297523aa,292929,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/PPA Bankruptcy.pdf,reference/regulations/PPA Bankruptcy.pdf,d18bb2cfb374ae876a6aac264f44058358724351e788e768fbbb2c0ecb28d5c7,277454,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Priority Category 2 Benefits Calculation.pdf,reference/regulations/Priority Category 2 Benefits Calculation.pdf,3bbd529f7c22374692fb1e8a85b400584645bc75020a0de4d6e46e95c32a627b,373554,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Priority Category 2 Benefits Payment.pdf,reference/regulations/Priority Category 2 Benefits Payment.pdf,f027da56f22a6e73200a8c4152ef1f9d505f41440c2d8f0d967d1da281a0d443,266352,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Qualified Domestic Relations Orders (QDRO).pdf,reference/regulations/Qualified Domestic Relations Orders (QDRO).pdf,226d99c7ca16a9994e1707740b2c14efe35bdfdc1e4d84df426e7f9940220932,326360,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
"reference/Qualified Preretirement Survivor Annuities - Plans terminating on and after August 23, 1984.pdf","reference/regulations/Qualified Preretirement Survivor Annuities - Plans terminating on and after August 23, 1984.pdf",8703dfe39cf43f26d2ca742f72bff9d5f59b8cf25ec9a26823e4695ebe8f5389,268669,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/r5-items.txt,reference/training/r5-items.txt,edc5ac74003969e09f39867d4f63157565697c7f6fbbe2897ad7af7facc2ae90,4510,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22074800V1Summary.json,reference/approved-v1-summaries/22074800V1Summary.json,381b08432c1be33dd588b79da872c30ec2c64a0220a7aaa6eab92ac3b29ea1d3,1001458,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22114200V1Summary.json,reference/approved-v1-summaries/22114200V1Summary.json,08a750f8eacf9a7b0afdb0cf168b892f0aa5066ab140661f26ca1ece2ed57255,546715,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22154600v1Summary.json,reference/approved-v1-summaries/22154600v1Summary.json,742c1b7aad8e0809426751d0baa9ea85afbb979accf54e56447316597697c807,410721,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22195900V1Summary.json,reference/approved-v1-summaries/22195900V1Summary.json,0139eb0da3e3b803f3528b3313cb97fc9f440d6da4b349e3f36c0b09af73a21f,549112,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22206800V1Summary.json,reference/approved-v1-summaries/22206800V1Summary.json,82b21030f2b9ccb765bcdd7228ae0e52f964e864490d6ceeb45464e19b86166f,2573153,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22229700V1Summary.json,reference/approved-v1-summaries/22229700V1Summary.json,106efb1505ff3fbe97069e30b67faae00c977508227672afdc25f00f4c0595f0,712626,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22250300V1Summary.json,reference/approved-v1-summaries/22250300V1Summary.json,40f4e840b70336897fae04e9f30317f800473da376736b516937c95d8aff9eeb,348460,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22278800V1Summary.json,reference/approved-v1-summaries/22278800V1Summary.json,2c29e1654a41e354b55317f41a85cd72b483405d07c62646e2caa51f99b05602,574524,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22284100v1Summary.json,reference/approved-v1-summaries/22284100v1Summary.json,982d95d470f01d345585b95c2dd659eb5dbcaf872a303a69b1d50acc7fd979fd,485924,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22319700V1Summary.json,reference/approved-v1-summaries/22319700V1Summary.json,4dd020b9fcb377d975e669fe9fe9c13d790dc8de7ae6f2a5a2a5054cd1481e89,533615,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22321500V1Summary.json,reference/approved-v1-summaries/22321500V1Summary.json,a0fa4a1b47d12ddc6b1f7870497449dc30c29483e5b6ff6bba9c9f2456c67f14,353652,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22339400V1Summary.json,reference/approved-v1-summaries/22339400V1Summary.json,5a8640fbcf7fb4c72cfd0c568efb3e55ef3ba7b18640b66718e6542e011afc93,509828,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22354600V1Summary.json,reference/approved-v1-summaries/22354600V1Summary.json,0398c7059bb716974f36dbf2d8992732f3842d8690ca41c20769a2e5369d2121,448205,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22386400V1Summary.json,reference/approved-v1-summaries/22386400V1Summary.json,4c0439752882350b5472b77a12c4c3359091260b91146a026f0530e9861e8835,2467520,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22392700V1Summary.json,reference/approved-v1-summaries/22392700V1Summary.json,ef3c3f5366d027a81fa192a8dea56f0ef3755e2b2ed99f16e6e9cdae32a9fa68,362240,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22420700V1Summary.json,reference/approved-v1-summaries/22420700V1Summary.json,de4c78d5ecb907bcd30aae228ffe672ba91f78386f729b445f242baa5451bce7,215457,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22438100V1Summary.json,reference/approved-v1-summaries/22438100V1Summary.json,58b5ecab12aa2e47e2a1a5c207785ac0b9524acb531be3b494880a6de42638d2,1006652,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22459000V1Summary.json,reference/approved-v1-summaries/22459000V1Summary.json,1941ac1ab5c17a5b88c3b21578bd226a6e7919bfcd55500a9023315fa38a4330,321276,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22460500V1Summary.json,reference/approved-v1-summaries/22460500V1Summary.json,13cfbb9bf9f04a4f914863d76642f28d400115e93d526699cdc35d3c3d7a9993,439328,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22467100V1Summary.json,reference/approved-v1-summaries/22467100V1Summary.json,d71db07ca9dae26f3e5b618115057c8878940486da17cd2d2088d18b35a87f05,666079,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22470300V1Summary.json,reference/approved-v1-summaries/22470300V1Summary.json,5396f8dc15aede687156843adc04153a957d36e57662fb3c07a3c039aa6b7605,670688,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22474600V1Summary.json,reference/approved-v1-summaries/22474600V1Summary.json,87566715246ff16baf35389661093565999a06c8a26da6aadda4df27da8cb188,320378,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22474700V1Summary.json,reference/approved-v1-summaries/22474700V1Summary.json,d8f4d78d2539528aac8cac356db7829254b7dbe4b491731cec387be17caa5456,230237,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22474800V1Summary.json,reference/approved-v1-summaries/22474800V1Summary.json,7ac94c71a457a0c38dfd6b62752b1281324866948fee8428dba6c4a26b6f272b,1414600,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22479500V1Summary.json,reference/approved-v1-summaries/22479500V1Summary.json,76728b6f63455a81d8a0e8d3e9ea313ffd2130f47502e74319397a9d29abf457,560525,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22483400V1Summary.json,reference/approved-v1-summaries/22483400V1Summary.json,a0268dc3170e65dfafc3a1d863970808983577ca1c1dcf068e6bc726025e86b7,1268030,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22491000V1Summary.json,reference/approved-v1-summaries/22491000V1Summary.json,588bffedc7c23118b255853f8290bb2cf256382b079870362a815f184487e316,738368,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22512000V1Summary.json,reference/approved-v1-summaries/22512000V1Summary.json,de590cb83e8f498e25438c51b08b419de63c903cb9eb9e0b50cc2fcd58044f91,1051539,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22512600v1Summary.json,reference/approved-v1-summaries/22512600v1Summary.json,07672b53532bf4d23e1a4772a93a5909845eec1eef2cceeeec6f8917d0618412,681285,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22537400V1Summary.json,reference/approved-v1-summaries/22537400V1Summary.json,c43d5a706c53a46c921ea3a50817b5348bf998812e87b15635f8e5b98156a2cb,180386,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22541800V1Summary.json,reference/approved-v1-summaries/22541800V1Summary.json,99580883d396dba65dc72db9fa093ab96ef8d18d48b86b54703075aef7f915cf,656443,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22541900V1Summary.json,reference/approved-v1-summaries/22541900V1Summary.json,dc409a8308c8f5ff366d6e12974ad77fe115a4800e40af3b3635bad671fc973e,293971,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
